* Black *|0#0#0#1
* White *|1#1#1#1
Barrier #2|0,4811321#0,4405873#0,4016999#1
Barriers|0,8483891#0,8501462#0,8773585#1
Caban Door|0,4339623#0,3248776#0,243592#1
Caban Handle|0,4622642#0,4209087#0,2943663#1
Cabin Roof|0,2830189#0,2166567#0,1935742#1
Cabin Shape|0,2358491#0,1760508#0,1435119#1
Canon Balls|0,1698113#0,1489806#0,1401744#1
Caravan (Dark)|0,4313726#0,4666667#0,5176471#1
Curtain (White)|0,6854307#0,6854307#0,6886792#1
Darker Things|0,6603329#0,6603329#0,6698113#1
Fire|1#1#1#0,2941177
Fire (Lantern)|1#1#1#0,3882353
Fire (Streetlights)|1#1#1#0,5882353
First Plan|0,3331257#0,3350768#0,3584906#1
Flower (Red)|0,5377358#0,2815503#0,3706583#1
Flowers|0,6980392#0,8334249#0,8784314#1
Forest (Near)|0,8449923#0,8382432#0,8584906#1
Garland (First Plan)|0,08490568#0,08490568#0,08490568#1
Glasses (Dark)|0,1886792#0,1886792#0,1886792#1
Invisible Tent|0,7662869#0,7662869#0,7924528#0
Invisible Tent #2|1#1#1#0
Lantern Hook|0,0471698#0,0471698#0,0471698#1
Lightly Dark Things|0,7662869#0,7662869#0,7924528#1
Liiiiightly Dark Things|0,8235582#0,8541358#0,8773585#1
Mirror|0,7295972#0,6016376#0,754717#1
Mountain (Back Far Away)|0,1792453#0,1792453#0,1792453#1
Mountain (Back Far Away) #2|0,7735849#0,7735849#0,7735849#0,2039216
Mountain (Near)|0,4056604#0,4056604#0,4056604#1
Mountains|0,488252#0,488252#0,490566#1
Really Dark Things|0,4332058#0,4677952#0,5188679#1
Road|0,07523437#0,0751157#0,0754717#1
Rope (Dark)|0,6415094#0,6312602#0,6142755#1
Sheets (Green)|0,5846321#0,6886792#0,5814791#1
Signs Alley Background|0,4716981#0,3627945#0,3359737#1
Smokestack|0,3664812#0,3613386#0,3773585#1
Tent (Green)|0,7812834#0,9150943#0,8096675#1
Trees #01|0,7764706#0,7764706#0,8117647#1
Trees #02|0,3769135#0,3895119#0,6603774#1
Trees #03|0,2224101#0,2296525#0,3962264#1
Trees #04|0,4610181#0,4638216#0,5283019#1
Trees #05|0,5870861#0,5870861#0,745283#1
Trees #06|0,3287202#0,3287202#0,8396226#1
Trees #07|0,1966002#0,3518587#0,8867924#1
Trees #09|0,2566305#0,276991#0,745283#1
Trees #10|0,2762549#0,2762549#0,6037736#1
Trees #11|0,4273318#0,45165#0,9339623#1
Trees #12|0,4605732#0,4786422#0,8490566#1
Trees #13|0,5027145#0,5027145#0,745283#1
Trees #14|0,6750178#0,6750178#0,7264151#1
Window #1|0,2169811#0,1439814#0,1381719#1
Wooden Planks|0,245283#0,1830456#0,1585084#1
Wooden Planks|0,2735849#0,1813732#0,1045301#1
Wooden Planks (Dark)|0,1792453#0,1369705#0,115833#1
Wooden Post (First Plan)|0,3018868#0,3018868#0,3018868#1
